ID,NOMBRE,ID_DEPORTE
862,Discus Throw,47
863,"Shot Put, Both Hands",6
864,Stone Throw,6
865,20 kilometres,66
866,Pentathlon,50
867,"3 miles, Team",6
868,Rugby (Rugby),6
869,Rugby,6
870,"110 metres Hurdles, Handicap",6
871,"400 metres, Handicap",6
872,"4 miles, Team",6
873,"Doubles, Handicap",6
874,"Heavyweight, Greco-Roman",6
875,"400 metres Hurdles, Handicap",6
876,"Heavyweight, Freestyle",6
877,Shot Put,53
878,Discus Throw,53
879,"2,590 metres Steeplechase",6
880,"Unlimited Class, Greco-Roman",6
881,120 yards Hurdles,6
882,All-Around Championship,6
883,Ski Jumping (Skiing),42
884,"Large Hill, Individual",42
885,Nordic Combined (Skiing),42
886,Individual,42
887,Horse Vault,6
888,"Parallel Bars, Teams",6
889,Horizontal Bar,6
890,"Horizontal Bar, Teams",6
891,Rings,6
892,Pommelled Horse,6
893,Football (Football),6
894,Football,6
895,Basketball (Basketball),6
896,Basketball,6
897,"1,500 metres Race Walk",6
898,100 metres Backstroke,6
899,200 metres Breaststroke,6
900,"Long Jump, Handicap",6
901,"Literature, Dramatic Works, Open",7
902,Glíma,6
903,4 × 10 kilometres Relay,42
904,"6-hour race, Professionals",6
905,Pairs,67
906,15 kilometres,42
907,30 kilometres,42
908,1 mile,6
909,Art Competitions,6
910,"Literature, Epic Works, Open",6
911,Marathon,50
912,"Discus Throw, Greek Style",50
913,Pentathlon (Ancient),50
