ID,TIED,PLACE,STATE,ID_MEDALLA,ID_OLIMPIADA,ID_EVENTO
570,False,29.0,COMPLETED,1,3,71
571,False,12.0,COMPLETED,1,6,71
572,False,35.0,COMPLETED,1,14,71
573,False,46.0,COMPLETED,1,14,70
574,False,19.0,COMPLETED,1,14,73
575,False,38.0,COMPLETED,1,13,70
576,False,29.0,COMPLETED,1,5,70
577,False,13.0,COMPLETED,1,5,73
578,False,49.0,COMPLETED,1,6,70
579,False,13.0,COMPLETED,1,6,73
580,False,51.0,COMPLETED,1,5,70
581,False,58.0,COMPLETED,1,5,70
582,False,47.0,COMPLETED,1,14,70
583,False,36.0,COMPLETED,1,3,70
584,False,12.0,COMPLETED,1,3,73
585,False,55.0,COMPLETED,1,14,70
586,False,40.0,COMPLETED,1,3,70
587,False,23.0,COMPLETED,1,3,70
588,False,31.0,COMPLETED,1,6,70
589,False,18.0,COMPLETED,1,13,70
590,False,36.0,COMPLETED,1,13,70
591,False,55.0,COMPLETED,1,5,71
592,False,41.0,COMPLETED,1,13,70
593,False,57.0,COMPLETED,1,5,71
594,False,37.0,COMPLETED,1,18,70
595,False,36.0,COMPLETED,1,20,70
596,False,34.0,COMPLETED,1,18,70
597,False,35.0,COMPLETED,1,20,70
598,False,74.0,COMPLETED,1,5,70
599,False,29.0,COMPLETED,1,19,71
600,False,26.0,COMPLETED,1,19,71
601,False,13.0,COMPLETED,1,19,70
602,False,8.0,COMPLETED,1,19,70
603,False,25.0,COMPLETED,1,18,70
604,False,25.0,COMPLETED,1,14,70
605,False,11.0,COMPLETED,1,14,73
606,False,56.0,COMPLETED,1,14,70
607,False,26.0,COMPLETED,1,5,70
608,False,12.0,COMPLETED,1,5,73
609,False,64.0,COMPLETED,1,5,70
610,False,23.0,COMPLETED,1,14,70
611,False,27.0,COMPLETED,1,5,70
612,True,41.0,COMPLETED,1,5,71
613,False,38.0,COMPLETED,1,13,71
614,False,28.0,COMPLETED,1,13,71
